Prénoms 2010;Nombre;Prénoms 2009;Nombre;Prénoms 2008;Nombre;Prénoms 2007;Nombre;Prénoms 2006;Nombre;Prénoms 2005;Nombre;Prénoms 2004;Nombre
Andrea;41;Céleste;38;Sofiane;38;Thibault;37;Blanche;38;Milo;36;Jonathan;39
Jasmine;41;Roman;38;Basile;37;Emmanuel;37;Alicia;38;Esteban;36;Daphné;39
Amaury;40;Achille;38;Carla;37;Dylan;37;François;38;Daphné;36;Mathéo;38
Ilyes;40;Hector;37;Clémentine;37;Basile;36;Thibault;38;Céleste;36;Arnaud;38
Daphné;40;Matteo;37;Kylian;37;Léonard;36;Elliot;37;Lilou;36;Noam;38
Mathias;40;Marc;37;Mariam;37;Etienne;36;Kenza;37;Lise;36;Anaëlle;38
Elie;40;Lila;37;Pablo;37;Sophie;36;Armand;37;Hélène;36;Eden;37
Marc;39;Edouard;37;Stanislas;37;Yann;36;Ryan;37;Mila;36;Moussa;37
Lena;39;Solal;37;Théophile;37;Blanche;36;Etienne;37;Dorian;35;Blanche;37
Joshua;39;Lilou;37;Ahmed;36;Loïc;36;Maëlys;37;Fanny;35;Eliot;37
Rafael;39;Joshua;37;Edouard;36;Anis;36;Edouard;37;Dimitri;35;Emmanuel;37
Mamadou;38;Lise;37;Ella;36;Aminata;36;Erwan;37;Angèle;35;Amaury;36
Lucile;38;Vadim;36;Marc;36;Daphné;36;Eugénie;37;Eve;35;Marc;36
Anton;38;Lenny;36;Mathéo;36;Sirine;36;Dorian;36;Sofiane;35;Emile;36
Antonin;38;Maïa;36;Stella;36;Hélène;36;Lenny;36;Diego;35;Cécile;36
Nils;37;Manel;36;Thibault;36;Ahmed;36;Clarisse;36;Noam;35;Rémi;36
César;37;Kylian;36;Vincent;36;Ilyes;35;Théodore;36;Max;35;Kenza;35
Lila;37;Paloma;36;Blanche;35;Emile;35;Audrey;36;Ninon;35;Hippolyte;35
Hippolyte;37;Pablo;35;Charlie;35;Céline;35;Madeleine;36;Amaury;34;Roxane;35
Anis;37;Octave;35;Daphné;35;Faustine;35;Amaury;35;Solène;34;Sofiane;35
Rayane;37;Grégoire;35;Elie;35;Marguerite;35;Théophile;35;Maëlys;34;Maximilien;35
Tess;37;Titouan;35;Etienne;35;Mila;35;Ines;35;Nour;34;Sixtine;35
Lise;37;Auguste;35;Joshua;35;Lily;34;Stella;35;Edouard;34;Hélène;35
Max;37;Lyna;35;Kenza;35;Moussa;34;Lucile;35;Philippine;34;Elie;35
Aïcha;37;Mariam;35;Mathys;35;Robin;34;Solal;35;Andréa;34;Esther;35
Ahmed;37;Yacine;35;Armand;34;Hippolyte;34;Alex;35;Elie;34;Théophile;34
Samy;37;Hamza;35;Joachim;34;Andréa;34;Selma;35;Elodie;34;Jérémy;34
Matteo;36;Salma;34;Jonathan;34;Céleste;34;Fanny;34;Théophile;33;Loïc;34
Vadim;36;Kenza;34;Sirine;34;Lise;34;Marc;34;Marguerite;33;Solal;34
Inaya;36;Alexandra;34;Ali;33;Théophile;33;Yassine;34;Rania;33;Esteban;34
Milo;36;Blanche;34;Céleste;33;Alexia;33;Maximilien;34;Erwan;33;Marguerite;34
Roxane;36;Max;34;Lili;33;Maëlle;33;Lyna;34;Emmanuel;33;Olivier;34
Claire;36;Hannah;34;Lilou;33;Sofiane;33;Yann;33;Lorenzo;32;Daniel;34
Corentin;36;Ahmed;34;Mamadou;33;Lyna;33;Suzanne;33;Yassine;32;François;34
Aminata;36;Dylan;34;Mattéo;33;Edgar;33;Aminata;33;Olivier;32;Mélanie;33
Mélissa;36;Armand;33;Naomi;33;Hector;32;Elena;33;Faustine;32;Ibrahim;33
Bérénice;36;Zélie;33;Paloma;33;Matteo;32;Paloma;33;Sixtine;32;Sami;33
Céleste;35;Nils;33;Romy;33;Amaury;32;Andrea;33;Ali;32;Lila;33
Lilou;35;Lucile;33;Sophia;33;Alex;32;Roman;33;François;32;Anis;33
Théophile;34;Milo;33;Diego;32;Alexandra;31;Mariam;33;Hadrien;31;Imane;33
Hadrien;34;Mattéo;33;Dylan;32;Flora;31;Edgar;33;Amandine;31;Rachel;33
Amir;34;Daphné;33;Grégoire;32;Imane;31;Salma;32;Emile;31;Andréa;33
Esteban;34;Arsène;33;Lyna;32;Luc;31;Lily;32;Cyprien;31;Ali;33
Auguste;34;Anton;33;Milan;32;Ali;31;Milo;32;Damien;31;Ahmed;33
Armand;33;Andrea;33;Roxane;32;Lilou;31;Angèle;32;Anouk;31;Aya;32
Mia;33;Hadrien;32;Alma;31;Alban;31;Sofiane;32;Joshua;31;Lorenzo;32
Eve;33;Théophile;32;Amandine;31;Amélie;30;Diego;32;Anaëlle;31;Nils;32
Chiara;33;Sophie;32;Elena;31;Lucile;30;Daniel;32;Kenza;30;Roman;32
Hamza;33;Etienne;32;Eugénie;31;Marc;30;Hadrien;31;Armand;30;Killian;32
Timothé;32;Moussa;32;Hadrien;31;Lila;30;Aurore;31;Suzanne;30;Eugénie;32
Eloïse;32;Vincent;32;Hamza;31;Mamadou;30;Pablo;31;Virgile;30;Ilona;31
Milan;32;Léopold;32;Hélène;31;Anatole;30;Luca;31;Bastien;30;Anatole;31
Manel;32;Zakaria;32;Lucile;31;Youssef;30;Anatole;31;Anthony;30;Henri;31
Gustave;32;Rayane;32;Aminata;30;Maïa;30;Mamadou;31;Alex;30;Milo;31
Ilian;32;Abel;32;Anaëlle;30;Rayane;30;Hippolyte;31;Léane;30;Shana;31
Erwan;32;Eugénie;32;Awa;30;Andrea;30;Anis;31;Lenny;29;Malo;31
Sophia;32;Elliot;31;Clarisse;30;Louna;30;Malo;31;César;29;Eve;31
Salma;31;Amélie;31;Florian;30;Sixtine;30;Arsène;31;Isaac;29;Audrey;31
Lorenzo;31;Loïc;31;Lenny;30;Ninon;30;Shirel;31;Jonas;29;Sabrina;31
Anatole;31;Thaïs;31;Léonard;30;Hamza;30;Andréa;31;Shana;29;Amandine;30
Emile;31;Claire;31;Lise;30;Kenza;29;Rafaël;31;Roxane;29;Estelle;30
Malo;31;Eve;31;Mia;30;Octave;29;Kevin;30;Nassim;29;Damien;30
Amandine;30;Gustave;31;Moussa;30;Ayoub;29;Maëlle;30;Paloma;29;Maud;30
Alma;30;Rafael;31;Nils;30;Nils;29;Flora;30;Louna;29;Ines;29
Hanna;30;Théodore;31;Rayane;30;Roxane;29;Imane;30;Ahmed;29;Coline;29
Maïa;30;Noham;31;Alexandra;29;Bastien;29;Hélène;30;Axelle;29;Dimitri;29
Marin;30;Louna;31;Ambroise;29;Virgile;29;Raphaëlle;30;Madeleine;29;Suzanne;29
Sirine;30;Sophia;31;Anis;29;Corentin;29;Ilyes;29;Ava;28;Alexia;29
Sofiane;30;Edgar;31;Daniel;29;Gustave;29;Amélie;29;Ayoub;28;Bastien;29
Elena;30;Kaïs;30;Edgar;29;Théodore;29;Dimitri;29;Nils;28;Nour;29
Nassim;30;Maëlle;30;Elliot;29;Ella;29;Alexia;29;Lily;28;Caroline;29
Wassim;30;Nino;30;Ilian;29;Raphaëlle;29;Léopold;29;Matéo;28;Angèle;29
Eugénie;30;Hanna;30;Jasmine;29;Dorian;28;Rémi;29;Henri;28;Jessica;29
Kaïs;29;Milan;30;Kevin;29;César;28;Ella;29;Awa;28;Louna;29
Florian;29;Joachim;30;Léopold;29;Estelle;28;Aïcha;29;Jonathan;28;Achille;29
Joachim;29;Hortense;30;Malo;29;Jonathan;28;Léane;29;Lili;28;Astrid;29
Andréa;29;Diego;30;Aïcha;28;Milan;28;Henri;27;Mélissa;28;Ninon;29
Ella;29;Maïssa;30;Amaury;28;Eliot;28;Ariane;27;Shirel;28;Salma;28
Hawa;29;Naomi;30;Gustave;28;Ilian;28;Rosalie;27;Stanislas;28;Olivia;28
Ana;29;Alex;30;Naël;28;Anton;28;Caroline;27;Jean-Baptiste;28;Hector;28
Lyna;29;Marine;30;Wassim;28;Abel;28;Youssef;27;Rafael;28;Armand;28
Ninon;29;Aurore;29;Andrea;27;Timothé;27;Kévin;27;Sabrina;28;Ariane;28
Emmanuel;29;Lorenzo;29;Balthazar;27;Aurore;27;Maïa;27;Achille;28;Evan;28
Dylan;29;Clémentine;29;Bastien;27;Albane;27;Gustave;27;Jacques;27;Lara;28
Lana;29;Mia;29;Judith;27;Alma;27;Olivier;27;Matteo;27;Rania;28
